Compositor,Obra,Año,Duración,Género y efectivo,Estreno,Edición discográfica,Notas,Grabación 1
,ePiano,2003,11'15,Mixta. Piano y Electrónica.,,,,RC03_06 CD15
"Candela, José Miguel (1968)",El Pentágono,1993,5',Mixta. Cuarteto de cuerdas y electrónica sobre soporte.,"1993. Sala Isidora Zegers. Santiago, Chile.",,,
,Azul,1995,6'30,Mixta. Dos pianos y procesos electrónicos.,"Mayo 1995. Sala Elena Waiss (Escuela Moderna de Música). Santiago, Chile.",,"Bárbara Perelmann y Cecilia García, intérpretes.",
,Dame un Loop,1996,8'32,Electrónica sobre soporte.,"1996, 6º Festival de Música Contemporánea Chilena organizado por el IMUC. Santiago, Chile.",,,
,Las Huellas del Pequeño Venado,1996,6'36,Electrónica sobre soporte.,"1997, Sala SCD Barrio Bellavista. Santiago, Chile.",,Dedicado a la cultura huichol (México).,
,Venus y Adonis,1999,10'17,Electrónica sobre soporte.,"1999. Sala América, Biblioteca Nacional, Santiago, Chile.",,Música para la coreografía homónima de Nelson Avilés.Co-compuesta con Cecilka García-Gracia.,
,La Variante,1999,22',Electrónica sobre soporte.,"2003.Sala FECH, Santiago, Chile.",,Música para la coreografía homónima de Claudia Vicuña.,
,"Goethe, la humanidad de un genio",1999,15'00,Electrónica sobre soporte.,"1999. Sala América, Biblioteca Nacional. Santiago, Chile.",,Música para la coreografía homónima de Nelson Avilés.,
,Bajan gritando ellos,2000,6'47,Electronica sobre soporte.,Marzo 2000. VIII Festival Internacional de Música Electroacústica de La Habana - Cuba.,,"Basado en el poema homónimo de Leonel Lienlaf, quien además recita. Dedicada al pueblo mapuche en su lucha por la recuperación de sus tierras y de su dignidad.",JMC00_01 CD15
,Ciclo DJ. (A la manera de Ahmed Malek),2000-01,Dj1 : 8'34Dj2 : 3'31Dj3 : 3'56Dj4 : 6'59,Electrónica sobre soporte.,"Dj2 y Dj3 : 2001, Sala SCD Barrio Bellavista, Stgo. de Chile (1er Ciclo de Música Electroacústica)Dj1 y Dj4 : 2003, Sala SCD Barrio Bellavista, Stgo. de Chile (Festival Politempo).",,"Dj1 es parte de la música para la coreografía ""Sin Respiro"" de la chilena Elizabeth Rodríguez, estrenada en 2000. Dj2, Dj3 y Dj4 son parte de la música para la coreografía ""Alto Contraste"" de la chilena Daniela Marini, estrenada en 2001. Todas fueron modificadas para ser presentadas en formato de concierto.",JMC01_02 CD15
,Contenedor,2002-03,60',Electrónica sobre soporte.,"2003. Sala Matucana 100, Santiago. Chile.",,Música para la coreografía homónima de Claudia Vicuña y Alejandro Cáceres.,
,Delta,2002,4'04,Electrónica sobre soporte.,"2002, EMEC del ISA, La Habana, Cuba.",,"La obra es parte de la música para la coreografía ""Lapsos Vitales"" del chileno Rodrigo Fernández, estrenada por el Ballet Nacional Chileno en 2002 (Teatro de la Universidad de Chile, Santiago). Luego fue modificada para ser presentada en formato de concierto.",JMC02_03 CD15
,TTK 81 micropiezas,2002-04,79'53,"Mixta. Saxofon (soprano, alto, tenor y barítono) y electrónica sobre soporte.","Enero 2004, Sala SCD-Barrio Bellavista, Santigo, Chile.",,"Obra estrenada y dedicada al saxofonista cubano Miguel Villafruela. La obra puede ser escuchada en combinaciones de micropiezas de cualquier orden y número (por lo tanto, la duración varía dependiendo de la versión).",
"Cantón, Edgardo (1962)",Lovecraft,1995,6',Electrónica sobre soporte.,"1996. Sala SCD, Santiago, Chile.",,"Realizada en los Estudios de Luc Ferrari "" La muse an Circuit"" y en el Conservatorio Edgard Varèse, Paris Francia.",
,Saint Michel en carretera nocturna,1995,7',Electrónica sobre soporte.,"1995. Sala Escuela Moderna de Música. Santiago, Chile.",,"Realizada en los Estudios de Luc Ferrari "" La muse an Circuit"" y en el Conservatorio Edgard Varèse, Paris Francia.",
,Memorias de los Andes,1997-98,10'48,Electrónica sobre soporte.,"1998 Concierto sala Universidad Pompeus Fabra. de Barcelona, España.","""Música Electroacústica en el GEMA 2000"". SVR-GEMA-3006-13. CD 2000.",Obra realizada en el LIPM. Argentina.,EC_97 CD16
,Los Sueños de Attar,2003,10'39,Electrónica sobre soporte.,"2002. Conciertos de música contemporánea del museo Reina Sofia. Madrid, España.",,"Obra realizada en LIEM-CDMC. Madrid, España",EC_03 CD16
"Carmona, Oscar (1975)",Kinesis,2000,17'45,Electrónica sobre soporte.,"La Habana, Cuba.","""Música Electrónica"". Fondart CD. 2002.",,OC00_01 CD18
,Cygnus X-1,2003,7'22,Mixta. Piano y electrónica sobre soporte.,"Noviembre 2003.XIII Festival de Música Contemporánea. Santiago, Chile.","""Música Electrónica"". Fondart CD. 2002",,OC03_02 CD18
"Carrasco, Fernando (1953)",ajar.cl,,8'27,Electrónica sobre Soporte.,,"""Música Electroacústica en el GEMA 2000"". SVR Producciones. SVR-GEMA 3006-13. CD 2000.",,FC_01 CD16
,Nilnovisubsole,1994,5'06,Electrónica sobre Soporte.,,"""Electromúsica de arte"". SVR Producciones SVR/CD-GEMA 2007-1. CD 1995.",,FC94_02 CD16
"Carvallo, Antonio (1972)",Nuevamente,2000,2'20,Mixta. Recitante y medios electrónicos.,,"""Música Contemporánea acústica y electroacústica compositores chilenos-generación del '90"". Fondart CD 2002.",,AC00_01 CD17
,02_être_02_alors_02,,7'07,Electrónica sobre soporte.,,"""Música Electrónica"". Fondart CD 2002.",,AC_02 CD18
,(Post) Desde que (no) somos un dialogo,,5'46,Electrónica sobre soporte.,,"""Música Electrónica"". Fondart CD 2002.",,AC_03 CD18
"Claro, Samuel (1934-1994)",Estudio N°1,1960,,Electrónica sobre soporte.,,,Compuesta a partir de un encargo para un documental sobre el acero en chile. Realizada en el Laboratorio de Acústica de la UC y finalizada en el departamento de grabaciones del Instituto de Extension Musical de la Universidad de Chile.,
"Concha, Francisco (1981)",La llave de vidrio,2004,15',Mixta. Cuarteto de flautas y electrónica.,"Marzo 2005, Instituto Goethe. Santiago, Chile.","""Música de Camara Electroacústica"". Fondart CD 2004",,FC04_01 CD25
"Cori, Rolando (1954)",Trozo Experimental,1981,,"Mixta. Vibráfono, Guitarra y electrónica sobre soporte.","1981. Sala Isidora Zegers. Santiago, Chile.",,,
,Fiesta,1989,8'33,Electrónica sobre soporte.,,"""Electromúsica de arte"". SVR Producciones SVR/CD-GEMA 2007-1. CD 1995.",,RC89_01 CD16
,Bailecitos con la Novia,,8'25,"Mixta. Voz, guitarra y electrónica sobre soporte.",,"""Música Electroacústica en el GEMA 2000"". SVR Producciones. SVR-GEMA 3006-13. CD 2000.",,RC_02 CD16
,Arsis y Thesis,1983 (?),,Electrónica sobre soporte.,"Agosto 1983. Sala Isidora Zegers. Santiago, Chile.",,Compuesta con motivo del XV aniversario de la carrera de Tecnología del Sonido.,
,Biósfera,1983,,Electrónica sobre Soporte.,"Agosto 1983. Sala Isidora Zegers. Santiago, Chile.",,Compuesta con motivo del XV aniversario de la carrera de Tecnología del Sonido.,
,Hoy es 16,,8'02,Electrónica sobre soporte.,"Octubre 2004. IV Festival de música electroacústica Ai-Maako. Santiago, Chile.",,,
"Fernandez, José Miguel (1973)",El Cruce,1996,,Electrónica sobre soporte.,,,,
,Travels thru three coordinates,1997,,Electrónica sobre soporte.,,,Composicion para un video arte de Edgard Endress,
,Resonancias de Csound,1998,6’45,Electrónica sobre soporte.,"1998. Sala Goethe. VIII Festival de Música Contemporánea de la U.C. Santiago, Chile.",,,JMF98_01 CD16
,Attract,1999,7'45,Mixta. Clarinete y electrónica en tiempo real.,"2001. Sala SCD. Santiago, Chile.","""Sonidos y Visiones del Sur"". Universidad de Lanús, Argentina CD/""Música Contemporánea Acústica y Electroacústica, Compositores Chilenos. Generación del ´90"" Fondart CD 2002","Obra compuesta con financiamiento FONDART. Investigación, junto con Luis Barrie, de modelos matemáticos aplicados a la música e interacción en tiempo real.Pieza finalista en el XX concurso internacional de Música Electroacústica de Bourges, categoria Trivium.",JMF99_02 CD16
,67-591,2002,9'16,Electrónica sobre soporte.,"2003. Festival Sonoimágenes. Buenos Aires, Argentina.","""Música Electrónica"". Fondart CD 2002.",,JMF02_03 CD17
,9dn.13 (Viaje-Espacio_Contínuo),2002,8'12,Electrónica sobre soporte.,"2002. CNSM de Lyon, Francia.","""Música Electrónica"". Fondart CD 2002.",,JMF02_04 CD17
,Dual,2002,15',Mixta. Percusión y electrónica en tiempo real.,"2002. CNSM de Lyon, Francia.",,Obra compuesta con financiamiento FONDART.,JMF03_05 CD17
,9dn.21,2003,12'12,"Mixta. Ensamble (cl, fg,cor,cb y perc.) y electrónica en tiempo real.","2003. CNSM de Lyon, Francia.",,,JMF03_06 CD17
,Sincro,2004,12',"Mixta. Ensamble (fl, ob, cl, pi, vib, vi, vlc y teclado MIDI) y electrónica en tiempo real.","2004. CNSM de Lyon, Francia.",,,JMF04_07 CD17
"Ferrari, Andrés (1971)",Inflexiones,,10'27,Electrónica sobre soporte.,,"""Música Electroacústica en el GEMA 2000"". SVR-GEMA-3006-13. CD 2000.",,AF_01 CD18
,Inflexiones dos,,11',Mixta. Mezzo y electrónica sobre soporte.,,"""Música Electrónica"". Fondart CD 2002.",,AF_02 CD18
,Fuerzas de Roce,,8'49,Electrónica sobre soporte.,,"""Música Electrónica"". Fondart CD 2002.",,AF_03 CD18
Pablo Fredes (1974),ça fait faire ça,2002,8'36,Electrónica sobre soporte.,Junio 2002. Auditorium del conservatorio de Pantin. Francia.,,,PF02_01 CD19
,Sonattache,2002-03,12'08,Electrónica sobre soporte.,"Octubre 2004. Concierto de alumnos de la Asociación de enseñantes de música electroacústica. CNSM de Lyon, Francia.",,,PF03_02 CD19
,Sonatisse,2004,7'12,Electrónica sobre soporte.,,,,PF04_03 CD19
"García-Gracia, Cecilia (1968)",Venus y Adonis,1999,10'17,Electrónica sobre soporte.,"1999, sala América, Biblioteca Nacional, Santiago, Chile.",,"basada en el poema homónimo de William Shakespeare, encargada por el coreógrafo Nelson Avilés.",
,La Violación de Lucrecia,2000,8'04,Electrónica sobre soporte.,"2000, Casa Central Universidad de Chile, Santiago, Chile.",,"basada en el poema homónimo de William Shakespeare, encargada por el coreógrafo Nelson Avilés. Obra en 2 partes: la primera acusmática (8:00) y la segunda (10:00), para contralto-bailarina interpretada en vivo.",CGG00_01 CD19
,Algo sigue su curso,2001,17'16,Electrónica sobre soporte.,"2001, sala Fech (Federación de Estudiantes de la Universidad de Chile), Santiago, Chile.",,"Obra en 5 partes, compuesta por encargo para la coreografía homónima de Marcela Retamales.",
,Omaira,2002,16'40,Electrónica sobre soporte.,"diciembre 2002, Universidad Arsis, Santiago, Chile.",,"Obra compuesta por encargo para la coreografía ""3 días, 9 besos"" de Daniela Marini.",
,Ñanco,2002,7'27,Mixta. Cello y electrónica sobre soporte.,"Octubre 2002, Sala SCD, II Ciclo Internacional de Música Electroacústica, Santiago, Chile.",,Obra estrenada y dedicada a la cellista Mariana Chamorro.,CGG02_02 CD19
,Wérika,2003,8'13,Electrónica sobre soporte.,"Octubre 2003, Sala SCD, III Ciclo Internacional de Música Electroacústica, Santiago, Chile.",,,CGG03_03 CD19
,Territorio Incierto,2004,22'45,Electrónica sobre soporte.,"2004, Bar El Sofá, Santiago, Chile.",,Obra en tres partes (3:22; 9:23; 10:00;) compuesta por encargo para la coreografía homónima de Daniela Marini.,
,Máxima Seguridad,2004,42'22,Electrónica sobre soporte.,"Julio 2004 sala Santa Elena, Santiago, Chile.",,Obra en 10 partes compuesta por encargo para la coreografía homónima de Javier Muñoz.,
"Garreton, Roberto (1973)",(Solo) Palabras,2003,7'47,Electrónica sobre soporte en 4 pistas.,Enero 2004. Estudio I del Conservatorio Real de la Haya. Holanda.,,Una primera versión fue realizada para soporte estereofónico con una duración de 6 minutos.,RG03_01 CD20
,Instrumentos,2003,5'08,Electrónica sobre soporte.,Abril 2003. Estudio III del Conservatorio Real de la Haya. Holanda.,,,RG03_02 CD20
,Meeting Point,2005,10',"Mixta. Clarinete en Sib, percusión (tambor, tom-tom bajo, dos platillos) y electrónica en tiempo real",Febrero 2005. Estudio III del Conservatorio Real de la Haya. Holanda.,,,RG05_03 CD20
,Larvae,2005,10',"Multimedia. Danza, guitarra eléctrica e instrumento electrónico autoconstruído.",Febrero 2005. Estudio III del Conservatorio Real de la Haya. Holanda.,,"Pieza compuesta por el dúo de música electroacústica N.e.w.S (Satoshi Shiraishi, Roberto Garretón) con la participación de Takuya Sato en danza.",
"Guarello, Alejandro (1951)",A cuatro manos,1978,5',Electrónica sobre soporte.,,,Realizada en el estudio de la Universidad de Chile con la colaboración de Isabel Bravo y la participación de Rodrigo Torres.,
,La bella datoki,2002,14',"Mixta. Piano preparado, guitarras (eléctrica, bajo y normal), violín, clarinetes (bajo y normal) y electrónica.","Julio 2002. Carácas, Venezuela. Festival A TEMPO. Ensamble Black Jackets Company.",,,AG02_01 CD20
"Holman, Ernesto (1950)",OIREB-A,1994,5'51,Electrónica sobre soporte.,,"""Electromúsica de arte"". SVR Producciones SVR/CD-GEMA 2007-1. CD 1995.",,EH94_01 CD20
,"Suite 4 caminos (Poema muerto, Alicia, Cánon, Madagascar [burlesca])",,,Electrónica sobre soporte.,"1997. VI Festival de Música Contemporánea Chilena. Santiago, Chile.",,,
"Kaplan, Adolfo (1975)",Tras la puerta,2001,7'20,Electrónica sobre soporte.,"2001. Auditorio de la ENM de Pantin, Paris, Francia.",,,
,La Sombra del sonido,2002,8’13,Electrónica sobre soporte.,"2003. Auditorium Scrime. Bordeaux, Francia.",,Obra finalista del concurso Scrime de Bordeaux. 2003.,AK02_01 CD20
,Les trayectoires du rëve,2003,12',Electrónica sobre soporte.,"Marzo 2004. Festival Archipel. Ginebra, Suiza.",,,AK03_02 CD20
,Hors Chant,2004,6',Multimedia. Video y electrónica sobre soporte.,"Diciembre 2004. Seúl, Corea.",""" En chantier "" DVD producido por la SACEM y el Conservatorio Nacional de Música de Estrasburgo.","Notas : Coproducción entre los artistas visuales Franck y Vincent Dudouet y Adolfo Kaplán. Obra premiada en el festival de la República Checa de videos jóvenes, y en el concurso de video tecnología de Seúl, Corea.",AK04_03 CDVideo
"Láscar, Nicolás (1983)",Del levante a la (a)puesta,2004,8',"Mixta. Saxo tenor, guitarra flamenca, contrabajo y electrónica.","15 de marzo de 2005, Goethe Institut Santiago, Chile","""Música de Cámara Electroacústica"" Fondart CD 2004.",,
"Lazo, Félix (1957)",Las Hijas de Mara,2003,22'10,Multimedia.,"Octubre 2003. Tercer Festival de música electroacústica. Santiago, Chile.",,,FL03_01 CDVideo
,Ex-zummo,2004,3'05,Multimedia.,"Octubre 2004. Festival Ai-Maako. Santiago, Chile.",,,FL04_02 CD21
,Abbyth,2004,6’01,Electrónica sobre soporte.,,,,FL04_03 CD21
,Earth,2004,7’49,Electrónica sobre soporte.,,,,FL04_04 CD21
"Lazo, Paola (1969)",A-Polo 23,1999,5'02,Electrónica sobre soporte.,"Julio 2000. Sala de la SCD, Santiago, Chile.","""Música Contemporánea acústica y electroacústica. Compositores chilenos, generación del 90"". Fondart CD 2002.",,PL99_01 CD21
,Totto,,5'03,Multimedia.,,,Imágenes realizadas por Félix Lazo.,PL_02 CDVideo
,Ok,,5'21,Multimedia.,,,Imágenes realizadas por Félix Lazo.,PL_03 CDVideo
,Medusa,,,Mixta. Percusión y electrónica sobre soporte.,"Octubre 2003. III Ciclo internacional de conciertos de música electroacústica. Santiago, Chile.",,,
,Medusa II,2004,10',Mixta. Percusión y electronica sobre soporte.,"Octubre 2004. IV Festival de música electroacústica Ai-Maako. Santiago, Chile.",,,
"Lopez, Cristian (1962)",Gente llorando,1995,11',Mixta. Contrabajo y electrónica.,Octubre 1997. I Festival de Música Contemporánea de Valdivia. Chile.,,,
,"Paisaje Electrónico (Nubes, La Fiesta de Chile, Fugitivo)",1996,9'30,Electrónica sobre soporte.,Octubre 1998. II Festival de Música Contemporánea de Valdivia. Chile.,,,
,Fausto Novus,1998,50' ca.,"Piano, percusión. Electrónica sobre soporte.",Julio 1998. Teatro Municipal de Temuco. Chile.,,Obra de teatro musical encargada por el director teatral Nestor Bravo.,
,Trapananda,2000,70' ca.,"Mixta. Tenor, ensamble (piano, saxo, percusión e intrumentos andinos) y electrónica sobre soporte.",may-00,,,
,España por los cuernos,2002,24'ca.,Multimedia.,"Octubre 2002. Museo de Arte Contemporáneo. Valdivia, Chile.",,,
,Leftraru viajero ensoñado,2003/05,70' ca.,"Mixta. Opera de cámara con solistas, coro, grupo instrumental mapuche y electrónica sobre soporte.",,,,
,Pasión,2003,7',Mixta. Voz femenina y electrónica sobre soporte.,,Editada en Cd en Homenaje a Tomas Lefever.,,
,Pasajeros del cuerpo,2004,62',Multimedia.,"Diciembre 2002. Teatro Antonio Varas. Santiago, Chle",,Encargada por la coreógrafa Luz Croxatto,
"Martínez, Jorge (1953)",Mallku,1981,6',Instrumentos electrónicos autoconstruidos y microfonos de contacto.,"Septiembre 1981. Festival Musica Incontri. Florencia, Italia.","""Proteo"". Fondart CD 1999.",,
,A.M.,1982,4',Cinta Magnética y receptor de radio.,"Julio 1982. Festival Il Pennello Impropio-Interventi Sonori. Florencia, Italia.",,,
,Ojorojo,1982,6',Electrónica sobre soporte.,"Febrero 1982. Salon Philarmonique, Bruselas, Belgica.","""Musica de Arte"". Fondart CD 1998.",,
,Eppur si muove,1982,15',Electrónica sobre soporte.,"Septiembre 1982. Festival Internacional de teatro. San Arcangelo di Romagna, Italia.",,,
,Harmonicus,1982,15',Electrónica sobre soporte.,"Febrero 1985. Sala Marginalia. Turin, Italia.",,,
,Triángulo Andino,1983,7',Mixta. Aerófonos andinos y electrónica sobre soporte.,"Julio 1983. Bagnacavallo, Italia.",,,
,Distribuitore di suono,1983,60',Electrónica sobre soporte.,"Julio 1983. Festival Umsgangmusik. Florencia, Italia..",,,
,Macchine sonore mix,1984,15',Electrónica sobre soporte.,"Febrero 1985. Florencia, Italia.","""Música de Arte"". Fondart CD. 1998.",,
,77 Haiku,1984,15',Electrónica sobre soporte.,"Noviembre 1984. Festival Musica Verticale. Roma, Italia.",,,
,Schegge,1984,8',Electrónica sobre soporte.,"Noviembre 1994. Festival de Música Contemporánea. Temuco, Chile.",,,
,Erotica,1984,Indef.,Multimedia.,"Junio 1984. Exposicion Erótica, Palagio di Parte. Florencia, Italia.",,,
,"Sequenze di Ballo, alla zampogna",1984,8',Electrónica sobre soporte.,,,,
,Cadenas,1985,5',Electrónica sobre soporte.,,,,
,Grappoli,1985,Indefinida.,Electrónica sobre soporte.,"Diciembre 1985. Sala Marginalia. Turin, Italia.",,,
,"Passaggi, Messaggi, assaggi",1985,Indefinida.,Multimedia,"Junio 1985. Florencia, Italia.",,,
,On-off suoni nelle citta',1985,60',"Multimedia. 500 grabadores de cassettes, intérpretes, cintas magnéticas.","Julio 1985. Festival Milano Suono, Milan, Italia.",,,
,Anamorphosis,1986,60',Mixta. Ensamble y electrónica sobre soporte.,"Septiembre 198?. Festival Musica Contemporanea. Florencia, Italia.",,,
,Omeostati,1986,30',"Electrónica sobre soporte, sintetizadores EMS, vocoder.","Noviembre 1986. Festival Florencia, capital europea de la cultura. Florencia, Italia.",,,
,Prov.lo,1986,Indefinida.,Electrónica sobre soporte. Serie de programas de composición automática.,"Febrero 198?. Pistoia, Italia",,,
,Torre di campani virtuali,1987,Indef.,Multimedia.,"Septiembre 1987. Pistoia, Italia.",,,
,Come una fontana,1987,Indef.,Multimedia.,"Abril 1988. Pistoia, Italia.",,,
,Pomeriggi musicanici,1988,Indef.,"Sintetizadores, silbatos, sikus andinos.","1998. Florencia, Italia.",,,
,Astillas de Bambu,1989-1994,4',Electrónica sobre soporte.,"Noviembre 1994. Festival Anacrusa. Santiago, Chile.","""Electromúsica de Arte"". SVR/CD-GEMA 2007-1. CD 1995.",,JM94_01 CD21
,Phonei,1996,15',"Voz recitante, cantante, sintetizadores, vocoder.","Septiembre 1996. Festival Incontri Musicanici. Florencia, Italia.",,,
,Arpa Armónica,1998,5',"Mixta. Arpa, instrumentos electrónicos autoconstruídos y electrónica sobre soporte.","Octubre 1998. Restaurante Muñeca Brava. Santiago, Chile.","""Música Contemporánea para Arpa Chilena"". Fondart CD 1999.",,
,Forma,1998,7',Mixta. Saxo alto y electrónica sobre soporte.,"Octubre 1998. Restaurante Muñeca Brava. Santiago, Chile.","""Música de Arte"". Fondart CD 1998. y en ""Música Chilena del siglo XX"" vol III. ANC-SVR 6003-3. CD 1999.",,
,Proteo,1999,72',Multimedia. CD-Rom. Electrónica sobre soporte.,,"""Proteo"". Fondart CD 1999.",,
,Leitmotiv N° 6,2000,9',Mixta. Violoncello y electrónica sobre soporte.,,,,
,Leitmotiv N° 7,2000,6',Mixta. Trombón y electrónica sobre soporte.,,,,
,Unisonos,2000,5',Electrónica sobre soporte.,,,,
,Tinku,,8'59,Electrónica sobre soporte.,,"""Música Electroacústica en el GEMA 2000"". SVR-GEMA-3006-13. CD 2000.",,JM_02 CD21
"Mathey, Gabriel (1955)",Un rico baño en la tina,1983,13',Electrónica sobre soporte.,"Agosto 1983. Sala Isidora Zegers. Santiago, Chile.",,Compuesta con ocasión del XV aniversario de la carrera de Tecnología del Sonido.,
,RSPQ-T27,1985,10',Electrónica sobre soporte.,,,,
"Mora, Mario (1967)",NUD,1994,5'32,Mixta. Flauta y electrónica sobre soporte.,Enero 1995. Lanzamiento de disco Electromúsica de arte. Casa Central Universidad de Chile.,"""Electromúsica de arte"". SVR Producciones SVR/CD-GEMA 2007-1. CD 1995.",Sergio Cabrera. Flauta.,MM94 CD21
,Sax,1995,8',Mixta. Saxo alto y electrónica sobre soporte.,1995. Sala Isidora Zegers.,,,
,Capricho,2004,,Mixta.Violín y electrónica.,"Enero 2005. Festival de Música contemporánea. Sala Isidora Zegers. Santiago, Chile.",,,
"Morales, Cristian (1967)",Zampler,1992,,"Mixta. Cuarteto de Zampoñas, cuarteto de cuerdas y electrónica sobre soporte.","Agosto 1992. Aula Magna del centro de extensión de la Universidad Catolica. Santiago, Chile.",,,
,Irial,1994-96,,Mixta. 1 o 2 guitarras y electrónica sobre soporte.,"Estreno parcial: Octubre 1996, XI Festival de La Habana, Cuba.",,,
,Cygnus,1994,7'14,Electrónica sobre soporte.,"Septiembre de 1994. Santiago, Chile.","""Electromúsica de Arte"". SVR/CD-GEMA 2007-1. CD 1995.",,CM94_01 CD21
,Oda,1997,,"Mixta. Flauta dulce tenor, viola y electrónica sobre soporte.","Marzo 1997. Sala HAL. Barcelona, España.",,,
,Sola…y eterna,1999,,"Mixta. Violin, clarinete bajo, guitarra, piano y electrónica sobre soporte.","Noviembre 1999. Sala Plateau. Bruselas, Bélgica.",,,
,Una voz,1999,,"Mixta. Flauta bajo, violin, corno, 2 contrabajos y dispositivo electroacústico.","Mayo 2000. Sala Universidad Pompeu Fabra. Barcelona, España.",,,
,Relief II,1999-00,,Mixta. Cuarteto de flautas dulces y electrónica sobre soporte.,"Mayo 2000. Sala Universidad Pompeu Fabra. Barcelona, España.",,,
,Una voz evanescente,2000,,"Mixta. Soprano, ensamble y dispositivo electroacústico","Mayo 2000. Sala Varèse. Lyon, Francia.",,,
,Relief 3,2001,11'45,Mixta. Vibráfono y electrónica sobre soporte.,"Enero 2002. Sala l'Alpha. Charbonniers-les-Bains, Francia.",,,CM01_02 CD21
,Arial doble: Bifurcaciones,2001,,Mixta. Dos pianos y electrónica en tiempo real.,,,,
,Ris-Ras,2002,3',Electrónica sobre soporte.,Junio 2002. Festival Synthése. Bourges. Francia,,,CM02_03 CD21
,Auciones,2002,,"Mixta. Ensamble Orquestal, trio de rabeles, cuarteto vocal mixto y electrónica sobre soporte.",,,,
,"Mientras, yo caminaré lejos…por la otra orilla",2003,,Mixta. Flauta dulce renacentista en sol y electrónica en tiempo real.,Noviembre 2003. Sala Fresno. XII Festival de Música Contemporánea de la Universidad Catolica. Santiago Chile.,,,
,Materiales,2003,,Mixta. Tres percusionistas y electrónica sobre soporte.,,,Obra compuesta con financiamiento FONDART.,
,Relief Iib,2004,,"Mixta. Flauta bajo, flauta, 2 tarkas y dispositivo electroacústico.","Agosto 2004. Facultad de Derecho. Buenos Aires, Argentina.",,,
,Nodo,2004,,"Mixta. Dos flautas, tam tam y electrónica en tiempo real.",,,"Existe una versión con ensamble (flauta, clarinete, guitarra, violín y violonchello).",
"Otondo, Felipe (1972)",Jojo (el sueño de jojo),1998,3',Electrónica sobre soporte.,"Noviembre 1998. Sala Goethe, Santiago. VIII Festival de Música contemporánea.",,,FO98_01 CD22
,Pájaros en una jaula llena de sonido,1999,5'35,Electrónica sobre soporte.,"Agosto 1999. Luxus Art Festival, Aarhus, Dinamarca.",,,FO99_02 CD22
,Guitar ex Machina,2001,7'25'',Mixta. Guitarra y electrónica sobre soporte.,"Septiembre 2001. Tercer Festival Internacional de Performance. Odense, Dinamarca.",,,FO01_03 CD22
,Impermanencias 1,2001,7',Mixta. Violoncello y electronica en tiempo real.,"Julio 2001. Conservatorio de Fiona. Odense, Dinamarca.",,,FO01_04 CD22
,Constelaciones 1,2003,2'50'',Electrónica sobre soporte.,"Octubre 2003. Festival Ai-Maako. Santiago, Chile.",,,FO03_05 CD22
,Objetos Encontrados,2003,5'10,Electrónica sobre soporte.,"Noviembre 2003. Academia Real de Música. Aarhus, Dinamarca.",,,FO03_06 CD22
,Pi,2004,22',Multimedia. Electrónica e imágenes.,,,"Realizada para el video ""I DO YES WHEN I THINK NO"" de Maritxu Otondo.",FO04_07 CD22
,Trama,2004,5',Mixta. Clarinete y electrónica en tiempo real.,,,"Encargada por el grupo danés ""Moose Matrix"" y dedicada al compositor Anders Brødsgaard.",FO04_08 CD22
,Zapping Zappa,2004,7',Electrónica sobre soporte.,"Octubre 2004. Festival Ai-Maako. Santiago, Chile.",,,FO04_09 CD22
,Lydbillede (imagen sonora),2004,50' ca.,Multimedia. Instalación.,"Octubre de 2004, Copenhagen Project Room, Copenhague, Dinamarca.",,Instalación de arte generativo realizada como colaboración con dos artistas daneses que realizaron el diseño visual y la implementación en el recinto.,
,Tres estratégias diagonales para una instalación sonora,2004,70' ca.,Multimedia. Instalación.,"Junio de 2004, Galeria Pi, Copenhague, Dinamarca.",,Instalación realizada en conjunto con el arquitecto Jorge Soto utilizando cuatro canales independientes de sonido para dos recintos acoplados de la galeria.,
"Parra, Juan (1979)",Serenata a Bruno,2002-03,7',Electrónica sobre soporte.,"Febrero 2003. Teatro Kikker. Utrecht, Holanda.",,Finalista en concurso de Bourges 2003 categoria menores de 25 años.,JP03_01 CD23
,Tellura,2003,8',Electrónica sobre soporte.,"Enero 2004. Sonology Discussion Concert, Koninklijk Conservatorium, Den Haag, Holanda",,Ganadora del premio Residencia del concurso de Bourges 2004.,JP03_02 CD23
,FAILIN(n)g,2005,6’40,Mixta. Clavecin y electrónica.,,,,JP05_03 CD23
,The Battle,2005,,Mixta. Ensamble y Electrónica.,,,,
"Pequeño, Ivan (1945)",Zoom in,1972,9'13,Electrónica sobre soporte.,,,,
,Ahora,1974,16'30,Electrónica sobre soporte.,,,Obra ganadora del segundo premio en el Concurso Internacional de Bourges. 1975,
,Y movieron con sus alas el tiempo estancado,1976,19'28,Electrónica sobre soporte.,,,,
"Riffo, Guillermo (1945)",Intento,1984,9',Mixta. Flauta y electrónica sobre soporte.,"1985. Encuentro de música contemporánea, Anacrusa. Sala del Instituto Goethe. Santiago, Chile.",,,
"Rivas, Roque (1975)",Happy days,1995,5',Electrónica sobre soporte.,"Noviembre 1996. Aula Magna Centro de Extension UC. Santiago, Chile.",,,
,Estudio Nocturno,2001,5',Electrónica sobre soporte.,,,,RR01_01 CD23
